Order;Level;Code;Parent;Code;Main group;Description;Remark;General public services;Defence;Public order and safety;Economic affairs;Environmental protection;Housing and community amenities;Health;Recreation, culture and religion;Education;Social protection;
2235172;1;20;;TOTAL;TOTAL;Total;;;;;;;;;;;;
2235174;2;40;30;GF0101;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs;;Executive and legislative organs, financial and fiscal affairs, external affairs;;;;;;;;;;GF0101
2235178;2;80;30;GF0102;General public services;Foreign economic aid;;Foreign economic aid;;;;;;;;;;GF0102
2235181;2;110;30;GF0103;General public services;General services;;General services;;;;;;;;;;GF0103
2235185;2;150;30;GF0104;General public services;Basic research;;Basic research;;;;;;;;;;GF0104
2235187;2;170;30;GF0105;General public services;R&D General public services;;R&D General public services;;;;;;;;;;GF0105
2235189;2;190;30;GF0106;General public services;General public services n.e.c.;;General public services n.e.c.;;;;;;;;;;GF0106
2235191;2;210;30;GF0107;General public services;Public debt transactions;;Public debt transactions;;;;;;;;;;GF0107
2235193;2;230;30;GF0108;General public services;Transfers of a general character between different levels of government;;Transfers of a general character between different levels of government;;;;;;;;;;GF0108
2235196;2;260;250;GF0201;Defence;Military defence;;;Military defence;;;;;;;;;GF0201
2235198;2;280;250;GF0202;Defence;Civil defence;;;Civil defence;;;;;;;;;GF0202
2235200;2;300;250;GF0203;Defence;Foreign military aid;;;Foreign military aid;;;;;;;;;GF0203
2235202;2;320;250;GF0204;Defence;R&D Defence;;;R&D Defence;;;;;;;;;GF0204
2235204;2;340;250;GF0205;Defence;Defence n.e.c.;;;Defence n.e.c.;;;;;;;;;GF0205
2235207;2;370;360;GF0301;Public order and safety;Police services;;;;Police services;;;;;;;;GF0301
2235209;2;390;360;GF0302;Public order and safety;Fire-protection services;;;;Fire-protection services;;;;;;;;GF0302
2235211;2;410;360;GF0303;Public order and safety;Law courts;;;;Law courts;;;;;;;;GF0303
2235213;2;430;360;GF0304;Public order and safety;Prisons;;;;Prisons;;;;;;;;GF0304
2235215;2;450;360;GF0305;Public order and safety;R&D Public order and safety;;;;R&D Public order and safety;;;;;;;;GF0305
2235217;2;470;360;GF0306;Public order and safety;Public order and safety n.e.c.;;;;Public order and safety n.e.c.;;;;;;;;GF0306
2235220;2;500;490;GF0401;Economic affairs;General economic, commercial and labour affairs;;;;;General economic, commercial and labour affairs;;;;;;;GF0401
2235223;2;530;490;GF0402;Economic affairs;Agriculture, forestry, fishing and hunting;;;;;Agriculture, forestry, fishing and hunting;;;;;;;GF0402
2235227;2;570;490;GF0403;Economic affairs;Fuel and energy;;;;;Fuel and energy;;;;;;;GF0403
2235234;2;640;490;GF0404;Economic affairs;Mining, manufacturing and construction;;;;;Mining, manufacturing and construction;;;;;;;GF0404
2235238;2;680;490;GF0405;Economic affairs;Transport;;;;;Transport;;;;;;;GF0405
2235244;2;740;490;GF0406;Economic affairs;Communication;;;;;Communication;;;;;;;GF0406
2235246;2;760;490;GF0407;Economic affairs;Other industries;;;;;Other industries;;;;;;;GF0407
2235251;2;810;490;GF0408;Economic affairs;R&D Economic affairs;;;;;R&D Economic affairs;;;;;;;GF0408
2235259;2;890;490;GF0409;Economic affairs;Economic affairs n.e.c.;;;;;Economic affairs n.e.c.;;;;;;;GF0409
2235262;2;920;910;GF0501;Environmental protection;Waste management;;;;;;Waste management;;;;;;GF0501
2235264;2;940;910;GF0502;Environmental protection;Waste water management;;;;;;Waste water management;;;;;;GF0502
2235266;2;960;910;GF0503;Environmental protection;Pollution abatement;;;;;;Pollution abatement;;;;;;GF0503
2235268;2;980;910;GF0504;Environmental protection;Protection of biodiversity and landscape;;;;;;Protection of biodiversity and landscape;;;;;;GF0504
2235270;2;1000;910;GF0505;Environmental protection;R&D Environmental protection;;;;;;R&D Environmental protection;;;;;;GF0505
2235272;2;1020;910;GF0506;Environmental protection;Environmental protection n.e.c.;;;;;;Environmental protection n.e.c.;;;;;;GF0506
2235275;2;1050;1040;GF0601;Housing and community amenities;Housing development;;;;;;;Housing development;;;;;GF0601
2235277;2;1070;1040;GF0602;Housing and community amenities;Community development;;;;;;;Community development;;;;;GF0602
2235279;2;1090;1040;GF0603;Housing and community amenities;Water supply;;;;;;;Water supply;;;;;GF0603
